"GEO_ID","NAME","B19113_001E","B19113_001M","B19113_001MA","B19113_001EA",
"Geography","Geographic Area Name","Estimate!!Median family income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Median family income in the past 12 months (in 2020 inflation-adjusted dollars)","Annotation of Margin of Error!!Median family income in the past 12 months (in 2020 inflation-adjusted dollars)","Annotation of Estimate!!Median family income in the past 12 months (in 2020 inflation-adjusted dollars)",
"0500000US01001","Autauga County, Alabama","70730","4000","null","null",
"0500000US01003","Baldwin County, Alabama","79907","2820","null","null",
"0500000US01005","Barbour County, Alabama","45836","4486","null","null",
"0500000US01007","Bibb County, Alabama","62212","6531","null","null",
"0500000US01009","Blount County, Alabama","62576","4633","null","null",
"0500000US01011","Bullock County, Alabama","53976","7156","null","null",
"0500000US01013","Butler County, Alabama","57011","7043","null","null",
"0500000US01015","Calhoun County, Alabama","59609","2823","null","null",
"0500000US01017","Chambers County, Alabama","52477","4750","null","null",
"0500000US01019","Cherokee County, Alabama","58095","3877","null","null",
"0500000US01021","Chilton County, Alabama","59046","5188","null","null",
"0500000US01023","Choctaw County, Alabama","54429","12773","null","null",
"0500000US01025","Clarke County, Alabama","52955","5829","null","null",
"0500000US01027","Clay County, Alabama","53185","4530","null","null",
"0500000US01029","Cleburne County, Alabama","62025","6412","null","null",
"0500000US01031","Coffee County, Alabama","67245","3015","null","null",
"0500000US01033","Colbert County, Alabama","60619","3781","null","null",
"0500000US01035","Conecuh County, Alabama","45253","4047","null","null",
"0500000US01037","Coosa County, Alabama","50476","5738","null","null",
"0500000US01039","Covington County, Alabama","56831","3048","null","null",
"0500000US01041","Crenshaw County, Alabama","59896","6318","null","null",
"0500000US01043","Cullman County, Alabama","60790","2332","null","null",
"0500000US01045","Dale County, Alabama","56776","4523","null","null",
"0500000US01047","Dallas County, Alabama","47298","4546","null","null",
"0500000US01049","DeKalb County, Alabama","51363","2336","null","null",
"0500000US01051","Elmore County, Alabama","74234","5470","null","null",
"0500000US01053","Escambia County, Alabama","47336","4164","null","null",
"0500000US01055","Etowah County, Alabama","59713","2383","null","null",
"0500000US01057","Fayette County, Alabama","54654","3728","null","null",
"0500000US01059","Franklin County, Alabama","49564","5981","null","null",
"0500000US01061","Geneva County, Alabama","50579","4854","null","null",
"0500000US01063","Greene County, Alabama","41372","10950","null","null",
"0500000US01065","Hale County, Alabama","54792","10125","null","null",
"0500000US01067","Henry County, Alabama","62757","4514","null","null",
"0500000US01069","Houston County, Alabama","64557","1803","null","null",
"0500000US01071","Jackson County, Alabama","54489","4566","null","null",
"0500000US01073","Jefferson County, Alabama","71575","1600","null","null",
"0500000US01075","Lamar County, Alabama","57157","4775","null","null",
"0500000US01077","Lauderdale County, Alabama","67905","4410","null","null",
"0500000US01079","Lawrence County, Alabama","62734","6142","null","null",
"0500000US01081","Lee County, Alabama","75091","2397","null","null",
"0500000US01083","Limestone County, Alabama","77970","3014","null","null",
"0500000US01085","Lowndes County, Alabama","42832","7147","null","null",
"0500000US01087","Macon County, Alabama","49893","4564","null","null",
"0500000US01089","Madison County, Alabama","87723","2224","null","null",
"0500000US01091","Marengo County, Alabama","61919","5764","null","null",
"0500000US01093","Marion County, Alabama","53530","4341","null","null",
"0500000US01095","Marshall County, Alabama","61200","1788","null","null",
"0500000US01097","Mobile County, Alabama","61747","1305","null","null",
"0500000US01099","Monroe County, Alabama","53799","4961","null","null",
"0500000US01101","Montgomery County, Alabama","64884","2339","null","null",
"0500000US01103","Morgan County, Alabama","66053","2887","null","null",
"0500000US01105","Perry County, Alabama","33438","13205","null","null",
"0500000US01107","Pickens County, Alabama","53247","4601","null","null",
"0500000US01109","Pike County, Alabama","62171","3979","null","null",
"0500000US01111","Randolph County, Alabama","54013","4392","null","null",
"0500000US01113","Russell County, Alabama","54213","1903","null","null",
"0500000US01115","St. Clair County, Alabama","71382","2690","null","null",
"0500000US01117","Shelby County, Alabama","97843","2916","null","null",
"0500000US01119","Sumter County, Alabama","45494","7212","null","null",
"0500000US01121","Talladega County, Alabama","57538","3588","null","null",
"0500000US01123","Tallapoosa County, Alabama","56521","2067","null","null",
"0500000US01125","Tuscaloosa County, Alabama","71640","2505","null","null",
"0500000US01127","Walker County, Alabama","59531","3080","null","null",
"0500000US01129","Washington County, Alabama","56117","8755","null","null",
"0500000US01131","Wilcox County, Alabama","45582","5213","null","null",
"0500000US01133","Winston County, Alabama","53636","4222","null","null",
"0500000US02013","Aleutians East Borough, Alaska","88313","15090","null","null",
"0500000US02016","Aleutians West Census Area, Alaska","92500","11150","null","null",
"0500000US02020","Anchorage Municipality, Alaska","100775","2049","null","null",
"0500000US02050","Bethel Census Area, Alaska","55324","4486","null","null",
