STATE,CNTY,TRACT,MSA2018,LYA,PCTMIN,MIN_TRCT,CENINC,MEDINC,DDA
1,1,20100,33860,0,22.479,0,70699,68115,0
1,1,20200,33860,1,59.416,1,50133,68115,0
1,1,20300,33860,0,30.97,0,70111,68115,0
1,1,20400,33860,0,17.051,0,75580,68115,0
1,1,20501,33860,0,25.706,0,90879,68115,0
1,1,20502,33860,0,43.636,0,78375,68115,0
1,1,20503,33860,0,31.222,0,105016,68115,0
1,1,20600,33860,0,33.923,0,69000,68115,0
1,1,20700,33860,1,32.561,1,45625,68115,0
1,1,20801,33860,0,15.908,0,88804,68115,0
1,1,20803,33860,0,24.876,0,66250,68115,0
1,1,20804,33860,0,34.136,0,81934,68115,0
1,1,20805,33860,0,15.855,0,102734,68115,0
1,1,20901,33860,0,12.882,0,57667,68115,0
1,1,20902,33860,0,24.426,0,79825,68115,0
1,1,21000,33860,0,25.028,0,57614,68115,0
1,1,21100,33860,1,55.856,1,43036,68115,0
1,3,10100,19300,1,21.068,0,52083,79907,1
1,3,10200,19300,1,17.033,0,50326,79907,1
1,3,10300,19300,0,24.905,0,84769,79907,1
1,3,10400,19300,1,15.327,0,49583,79907,1
1,3,10500,19300,0,23.526,0,83362,79907,1
1,3,10600,19300,1,63.234,1,53199,79907,1
1,3,10704,19300,0,17.336,0,86456,79907,1
1,3,10706,19300,0,14.661,0,126806,79907,1
1,3,10707,19300,0,12.115,0,115714,79907,1
1,3,10708,19300,0,21.718,0,102467,79907,1
1,3,10709,19300,0,16.944,0,104326,79907,1
1,3,10710,19300,0,25.439,0,85125,79907,1
1,3,10711,19300,0,23.357,0,74643,79907,1
1,3,10800,19300,0,27.616,0,79826,79907,1
1,3,10903,19300,0,26.246,0,64621,79907,1
1,3,10904,19300,0,13.954,0,81146,79907,1
1,3,10906,19300,1,19.415,0,49176,79907,1
1,3,10907,19300,0,19.75,0,63958,79907,1
1,3,10908,19300,0,24.62,0,68571,79907,1
1,3,11000,19300,1,19.253,0,53769,79907,1
1,3,11102,19300,0,15.711,0,74801,79907,1
1,3,11103,19300,0,12.773,0,94463,79907,1
1,3,11104,19300,0,13.829,0,106273,79907,1
1,3,11201,19300,0,9.847,0,76509,79907,1
1,3,11202,19300,0,22.841,0,106821,79907,1
1,3,11300,19300,0,12.379,0,81613,79907,1
1,3,11409,19300,0,26.999,0,91853,79907,1
1,3,11410,19300,0,17.333,0,72321,79907,1
1,3,11411,19300,0,24.797,0,64861,79907,1
1,3,11412,19300,1,16.704,0,53438,79907,1
1,3,11413,19300,0,12.783,0,84664,79907,1
1,3,11414,19300,0,6.53,0,109281,79907,1
1,3,11415,19300,0,5.795,0,140139,79907,1
1,3,11416,19300,9,7.585,9,0,79907,1
1,3,11417,19300,0,10.099,0,140982,79907,1
1,3,11418,19300,0,10.547,0,80536,79907,1
1,3,11419,19300,0,10.594,0,87762,79907,1
1,3,11501,19300,0,22.866,0,64784,79907,1
1,3,11503,19300,1,28.415,0,57136,79907,1
1,3,11504,19300,0,31.535,1,78850,79907,1
1,3,11601,19300,0,12.997,0,68495,79907,1
1,3,11603,19300,1,12.159,0,56216,79907,1
1,3,11604,19300,0,7.466,0,71168,79907,1
1,3,990000,19300,9,0,9,0,79907,1
1,5,950100,99999,0,53.711,0,71719,55960,0
1,5,950200,99999,0,67.023,1,53750,55960,0
1,5,950300,99999,0,57.08,1,45461,55960,0
1,5,950400,99999,1,54.402,1,34602,55960,0
1,5,950500,99999,0,30.886,0,66106,55960,0
1,5,950600,99999,1,49.031,1,26944,55960,0
1,5,950700,99999,0,61.447,1,54766,55960,0
1,5,950800,99999,1,53.195,1,39306,55960,0
1,5,950900,99999,1,69.922,1,38375,55960,0
1,7,10001,13820,1,16.667,0,59000,75287,1
1,7,10005,13820,0,14.676,0,65272,75287,1
1,7,10006,13820,0,9.78,0,66625,75287,1
1,7,10007,13820,1,15.488,0,53928,75287,1
